Unnamed: 0,typeid_x,afstemningid,aktørid,party,dato
626376,1,5977,1774,Venstre,2004-11-18 10:00:00
626377,1,5978,1886,Socialdemokratiet,2004-11-23 12:00:00
626378,1,5978,1039,Socialdemokratiet,2004-11-23 12:00:00
626379,1,5978,220,Socialdemokratiet,2004-11-23 12:00:00
626380,1,5978,183,Danmarksdemokraterne,2004-11-23 12:00:00
626381,1,5978,648,Det Konservative Folkeparti,2004-11-23 12:00:00
626382,1,5978,1755,Dansk Folkeparti,2004-11-23 12:00:00
626383,1,5978,1751,Socialdemokratiet,2004-11-23 12:00:00
626384,1,5978,350,Venstre,2004-11-23 12:00:00
626385,1,5978,149,Det Konservative Folkeparti,2004-11-23 12:00:00
626386,1,5978,1881,Radikale Venstre,2004-11-23 12:00:00
626387,1,5978,647,Venstre,2004-11-23 12:00:00
626388,1,5978,258,Socialdemokratiet,2004-11-23 12:00:00
626389,1,5978,8319,,2004-11-23 12:00:00
626390,1,5978,164,Venstre,2004-11-23 12:00:00
626391,1,5978,1779,Venstre,2004-11-23 12:00:00
626392,1,5978,1891,Socialdemokratiet,2004-11-23 12:00:00
626393,1,5978,1444,Socialistisk Folkeparti,2004-11-23 12:00:00
626394,1,5978,1234,Socialistisk Folkeparti,2004-11-23 12:00:00
626395,1,5978,1461,Venstre,2004-11-23 12:00:00
626396,1,5978,678,Socialdemokratiet,2004-11-23 12:00:00
626397,1,5978,920,Socialdemokratiet,2004-11-23 12:00:00
626398,1,5978,1759,Det Konservative Folkeparti,2004-11-23 12:00:00
626399,1,5978,1792,Venstre,2004-11-23 12:00:00
626400,1,5978,1773,Socialdemokratiet,2004-11-23 12:00:00
626401,1,5978,669,Socialdemokratiet,2004-11-23 12:00:00
626402,1,5978,652,Socialdemokratiet,2004-11-23 12:00:00
626403,1,5978,1850,Det Konservative Folkeparti,2004-11-23 12:00:00
626404,1,5978,1815,Dansk Folkeparti,2004-11-23 12:00:00
626405,1,5978,1752,Socialistisk Folkeparti,2004-11-23 12:00:00
626406,1,5978,1912,Radikale Venstre,2004-11-23 12:00:00
626407,1,5978,1447,Socialdemokratiet,2004-11-23 12:00:00
626408,1,5978,668,Uden for folketingsgrupperne,2004-11-23 12:00:00
626409,1,5978,1844,Venstre,2004-11-23 12:00:00
626410,1,5978,1823,Det Konservative Folkeparti,2004-11-23 12:00:00
626411,1,5978,280,Socialdemokratiet,2004-11-23 12:00:00
626412,1,5978,94,Venstre,2004-11-23 12:00:00
626413,1,5978,664,Uden for folketingsgrupperne,2004-11-23 12:00:00
626414,1,5978,1885,Venstre,2004-11-23 12:00:00
626415,1,5978,216,Dansk Folkeparti,2004-11-23 12:00:00
626416,1,5978,108,Det Konservative Folkeparti,2004-11-23 12:00:00
626417,1,5978,1805,Ny Alliance,2004-11-23 12:00:00
626418,1,5978,1746,Venstre,2004-11-23 12:00:00
626419,1,5978,1433,Dansk Folkeparti,2004-11-23 12:00:00
626420,1,5978,1047,Uden for folketingsgrupperne,2004-11-23 12:00:00
626421,1,5978,794,Socialistisk Folkeparti,2004-11-23 12:00:00
626422,1,5978,1911,Socialdemokratiet,2004-11-23 12:00:00
626423,1,5978,1256,Socialdemokratiet,2004-11-23 12:00:00
626424,1,5978,5593,,2004-11-23 12:00:00
626425,1,5978,1739,Venstre,2004-11-23 12:00:00
626426,1,5978,1557,Kristeligt Folkeparti,2004-11-23 12:00:00
626427,1,5978,1431,Dansk Folkeparti,2004-11-23 12:00:00
626428,1,5978,679,Socialdemokratiet,2004-11-23 12:00:00
626429,1,5978,28,Socialdemokratiet,2004-11-23 12:00:00
626430,1,5978,1817,Venstre,2004-11-23 12:00:00
626431,1,5978,657,Venstre,2004-11-23 12:00:00
626432,1,5978,1771,Dansk Folkeparti,2004-11-23 12:00:00
626433,1,5978,1814,Venstre,2004-11-23 12:00:00
626434,1,5978,257,Socialdemokratiet,2004-11-23 12:00:00
626435,1,5978,217,Venstre,2004-11-23 12:00:00
626436,1,5978,1831,Dansk Folkeparti,2004-11-23 12:00:00
626437,1,5978,645,Venstre,2004-11-23 12:00:00
626438,1,5978,1880,Socialdemokratiet,2004-11-23 12:00:00
626439,1,5978,1879,Socialdemokratiet,2004-11-23 12:00:00
626440,1,5978,245,Liberal Alliance,2004-11-23 12:00:00
626441,1,5978,1760,Venstre,2004-11-23 12:00:00
626442,1,5978,1770,Socialdemokratiet,2004-11-23 12:00:00
626443,1,5978,1824,Uden for folketingsgrupperne,2004-11-23 12:00:00
626444,1,5978,1023,Socialdemokratiet,2004-11-23 12:00:00
626445,1,5978,193,Venstre,2004-11-23 12:00:00
626446,1,5978,662,Dansk Folkeparti,2004-11-23 12:00:00
626447,1,5978,666,Socialdemokratiet,2004-11-23 12:00:00
626448,1,5978,1829,Venstre,2004-11-23 12:00:00
626449,1,5978,918,Sambandsflokkurin,2004-11-23 12:00:00
626450,1,5978,680,Radikale Venstre,2004-11-23 12:00:00
626451,1,5978,671,Radikale Venstre,2004-11-23 12:00:00
626452,1,5978,206,Venstre,2004-11-23 12:00:00
626453,1,5978,1744,Socialistisk Folkeparti,2004-11-23 12:00:00
626454,1,5978,661,Uden for folketingsgrupperne,2004-11-23 12:00:00
626455,1,5978,725,Venstre,2004-11-23 12:00:00
626456,1,5978,1353,Socialdemokratiet,2004-11-23 12:00:00
626457,1,5978,1768,Socialdemokratiet,2004-11-23 12:00:00
626458,1,5978,1757,Venstre,2004-11-23 12:00:00
626459,1,5978,1280,Socialdemokratiet,2004-11-23 12:00:00
626460,1,5978,1769,Dansk Folkeparti,2004-11-23 12:00:00
626461,1,5978,226,Socialdemokratiet,2004-11-23 12:00:00
626462,1,5978,182,Danmarksdemokraterne,2004-11-23 12:00:00
626463,1,5978,176,Enhedslisten,2004-11-23 12:00:00
626464,1,5978,1761,Det Konservative Folkeparti,2004-11-23 12:00:00
626465,1,5978,1740,Dansk Folkeparti,2004-11-23 12:00:00
626466,1,5978,1767,Socialdemokratiet,2004-11-23 12:00:00
626467,1,5978,1094,Socialdemokratiet,2004-11-23 12:00:00
626468,1,5978,379,Socialistisk Folkeparti,2004-11-23 12:00:00
626469,1,5978,1250,Socialdemokratiet,2004-11-23 12:00:00
626470,1,5978,296,Venstre,2004-11-23 12:00:00
626471,1,5978,212,Venstre,2004-11-23 12:00:00
626472,1,5978,1791,Venstre,2004-11-23 12:00:00
626473,1,5978,1558,Kristeligt Folkeparti,2004-11-23 12:00:00
626474,1,5978,1774,Venstre,2004-11-23 12:00:00
626475,2,5979,1886,Socialdemokratiet,2004-11-23 12:00:00
626476,2,5979,1039,Socialdemokratiet,2004-11-23 12:00:00
626477,1,5979,183,Danmarksdemokraterne,2004-11-23 12:00:00
626478,2,5979,198,Socialistisk Folkeparti,2004-11-23 12:00:00
626479,1,5979,648,Det Konservative Folkeparti,2004-11-23 12:00:00
626480,2,5979,1325,Socialdemokratiet,2004-11-23 12:00:00
626481,1,5979,94,Venstre,2004-11-23 12:00:00
626482,1,5979,1885,Venstre,2004-11-23 12:00:00
626483,1,5979,211,Dansk Folkeparti,2004-11-23 12:00:00
626484,1,5979,108,Det Konservative Folkeparti,2004-11-23 12:00:00
626485,1,5979,1805,Ny Alliance,2004-11-23 12:00:00
626486,1,5979,1746,Venstre,2004-11-23 12:00:00
626487,1,5979,1433,Dansk Folkeparti,2004-11-23 12:00:00
626488,2,5979,1623,,2004-11-23 12:00:00
626489,1,5979,1047,Uden for folketingsgrupperne,2004-11-23 12:00:00
626490,2,5979,794,Socialistisk Folkeparti,2004-11-23 12:00:00
626491,2,5979,1911,Socialdemokratiet,2004-11-23 12:00:00
626492,1,5979,49,Venstre,2004-11-23 12:00:00
626493,2,5979,1751,Socialdemokratiet,2004-11-23 12:00:00
626494,1,5979,350,Venstre,2004-11-23 12:00:00
626495,2,5979,1727,Socialdemokratiet,2004-11-23 12:00:00
626496,1,5979,149,Det Konservative Folkeparti,2004-11-23 12:00:00
626497,2,5979,1778,Socialdemokratiet,2004-11-23 12:00:00
626498,1,5979,1881,Radikale Venstre,2004-11-23 12:00:00
626499,1,5979,647,Venstre,2004-11-23 12:00:00
626500,2,5979,258,Socialdemokratiet,2004-11-23 12:00:00
626501,1,5979,126,Venstre,2004-11-23 12:00:00
626502,2,5979,8319,,2004-11-23 12:00:00
626503,1,5979,164,Venstre,2004-11-23 12:00:00
626504,1,5979,1779,Venstre,2004-11-23 12:00:00
626505,2,5979,1891,Socialdemokratiet,2004-11-23 12:00:00
626506,2,5979,1256,Socialdemokratiet,2004-11-23 12:00:00
626507,1,5979,1815,Dansk Folkeparti,2004-11-23 12:00:00
626508,2,5979,1752,Socialistisk Folkeparti,2004-11-23 12:00:00
626509,1,5979,1912,Radikale Venstre,2004-11-23 12:00:00
626510,2,5979,1447,Socialdemokratiet,2004-11-23 12:00:00
626511,1,5979,668,Uden for folketingsgrupperne,2004-11-23 12:00:00
626512,1,5979,1844,Venstre,2004-11-23 12:00:00
626513,1,5979,1823,Det Konservative Folkeparti,2004-11-23 12:00:00
626514,2,5979,280,Socialdemokratiet,2004-11-23 12:00:00
626515,1,5979,1777,Dansk Folkeparti,2004-11-23 12:00:00
626516,1,5979,1739,Venstre,2004-11-23 12:00:00
626517,1,5979,676,Dansk Folkeparti,2004-11-23 12:00:00
