session,ID,party,name,coord1D,coord2D,se1D,se2D,var1D,var2D,loglikelihood,numVotes,numErrors,GMP,numeric_id,original_id
2,Legislator 36,1,Legislator 36,0.318416595458984,-0.167200654745102,0,0,0,0,-165.131759643555,787,75,0.810726642608643,2,14854
2,Legislator 37,1,Legislator 37,-0.611860454082489,-0.0027710292488336,0,0,0,0,-18.2677440643311,800,8,0.977424085140228,2,14854
2,Legislator 38,1,Legislator 38,0.542570114135742,0.0639624744653702,0,0,0,0,-126.262191772461,792,52,0.852636516094208,2,14854
2,Legislator 39,1,Legislator 39,0.436974972486496,-0.238299489021301,0,0,0,0,-112.419395446777,748,46,0.860455572605133,2,14854
2,Legislator 40,1,Legislator 40,0.657472252845764,0.647185742855072,0,0,0,0,-119.442245483398,734,53,0.849822461605072,2,14854
2,Legislator 41,1,Legislator 41,-0.605411291122437,0.179636016488075,0,0,0,0,-22.2116641998291,805,10,0.97278505563736,2,14854
2,Legislator 42,1,Legislator 42,0.39006096124649,-0.303159385919571,0,0,0,0,-125.872871398926,800,51,0.85441255569458,2,14854
2,Legislator 43,1,Legislator 43,-0.277577936649323,-0.178974404931068,0,0,0,0,-168.343643188477,806,70,0.81150633096695,2,14854
2,Legislator 44,1,Legislator 44,0.429008632898331,-0.228777855634689,0,0,0,0,-125.889114379883,786,57,0.852003812789917,2,14854
2,Legislator 45,1,Legislator 45,-0.649958610534668,0.38796854019165,0,0,0,0,-32.3888397216797,797,13,0.960176229476929,2,14854
2,Legislator 46,1,Legislator 46,-0.580682635307312,0.268146753311157,0,0,0,0,-23.7550487518311,802,11,0.97081458568573,2,14854
2,Legislator 47,1,Legislator 47,-0.558419585227966,0.101379081606865,0,0,0,0,-15.5655212402344,784,5,0.980341792106628,2,14854
2,Legislator 48,1,Legislator 48,-0.600068211555481,-0.033930592238903,0,0,0,0,-16.7651233673096,785,6,0.978869616985321,2,14854
2,Legislator 49,1,Legislator 49,0.475018471479416,-0.427724182605743,0,0,0,0,-86.7930679321289,787,37,0.895580232143402,2,14854
2,Legislator 50,1,Legislator 50,0.577622830867767,-0.17250058054924,0,0,0,0,-76.4110641479492,784,28,0.907135844230652,2,14854
2,Legislator 51,1,Legislator 51,-0.503608644008636,-0.0336177498102188,0,0,0,0,-28.7954120635986,768,10,0.963200151920319,2,14854
2,Legislator 52,1,Legislator 52,-0.540878236293793,-0.0071054920554161,0,0,0,0,-21.4839382171631,808,6,0.973761320114136,2,14854
2,Legislator 53,1,Legislator 53,-0.592655539512634,0.13318932056427,0,0,0,0,-17.8444347381592,806,6,0.978103756904602,2,14854
2,Legislator 54,1,Legislator 54,0.402024298906326,-0.128998100757599,0,0,0,0,-151.117156982422,778,57,0.823461890220642,2,14854
2,Legislator 55,1,Legislator 55,-0.754875779151917,0.0058917179703712,0,0,0,0,-38.8682708740234,801,10,0.952633798122406,2,14854
2,Legislator 56,1,Legislator 56,-0.64070326089859,0.179373532533646,0,0,0,0,-20.9417591094971,799,6,0.974130511283875,2,14854
