,id,dato
697,941,2014-02-19T13:00:00
698,942,2014-03-12T13:00:00
699,943,2014-04-01T13:00:00
700,944,2014-04-09T13:00:00
701,945,2014-04-10T10:00:00
702,946,2014-04-08T13:00:00
703,947,2014-04-03T10:00:00
704,948,2014-04-22T13:00:00
705,949,2014-04-24T10:00:00
706,950,2014-05-06T13:00:00
707,951,2014-05-08T10:00:00
708,952,2014-06-02T12:00:00
709,953,2014-05-28T13:00:00
710,954,2014-06-03T13:00:00
711,955,2014-05-26T12:00:00
712,956,2014-06-10T09:00:00
713,957,2014-01-16T13:00:00
714,958,2014-01-16T10:30:00
715,959,2014-01-16T14:30:00
716,960,2014-01-29T14:00:00
717,961,2014-01-14T15:30:00
718,962,2014-06-11T09:00:00
719,963,2014-01-14T14:00:00
720,964,2014-01-16T10:15:00
721,965,2014-01-14T16:00:00
722,966,2014-01-16T12:30:00
723,967,2014-01-15T14:00:00
724,968,2014-01-14T09:30:00
725,969,2014-02-20T14:00:00
726,970,2014-01-13T12:00:00
727,971,2014-01-16T13:00:00
728,972,2014-01-16T15:00:00
729,973,2014-01-15T13:15:00
730,974,2014-01-16T14:15:00
731,975,2014-01-22T10:30:00
732,976,2014-01-21T13:00:00
733,977,2014-01-16T13:40:00
734,978,2014-01-16T08:50:00
735,979,2014-02-06T10:30:00
736,980,2014-01-23T14:45:00
737,981,2014-02-27T10:30:00
738,982,2014-02-04T16:00:00
739,983,2014-06-02T12:00:00
740,984,2014-01-16T15:30:00
741,985,2014-01-17T10:00:00
742,986,2014-01-22T09:45:00
743,987,2014-02-06T10:00:00
744,988,2014-01-17T12:00:00
745,989,2014-01-30T13:05:00
746,990,2014-02-06T14:00:00
747,991,2014-01-16T13:00:00
748,992,2014-01-24T11:00:00
749,993,2014-01-15T15:00:00
750,994,2014-01-22T14:00:00
751,995,2014-02-27T13:00:00
752,996,2014-01-16T07:45:00
753,997,2014-01-30T14:00:00
754,998,2014-01-17T13:00:00
755,999,2014-01-16T17:00:00
756,1000,2014-01-30T10:00:00
757,1001,2014-01-23T14:00:00
758,1002,2014-02-19T14:00:00
759,1003,2014-01-21T09:00:00
760,1004,2014-01-23T10:15:00
761,1005,2014-01-29T14:00:00
762,1006,2014-01-30T15:00:00
763,1007,2014-01-29T10:00:00
764,1008,2014-01-23T13:30:00
765,1009,2014-01-30T14:15:00
766,1010,2014-02-06T16:00:00
767,1011,2014-01-23T12:00:00
768,1012,2014-01-23T14:00:00
769,1013,2014-02-18T14:00:00
770,1014,2014-02-06T14:00:00
771,1015,2014-01-30T13:00:00
772,1016,2014-02-04T15:00:00
773,1017,2014-01-28T13:15:00
774,1018,2014-01-28T13:15:00
775,1019,2014-02-25T16:00:00
776,1020,2014-01-30T12:00:00
777,1021,2014-02-06T15:00:00
778,1022,2014-01-28T10:50:00
779,1023,2014-01-30T14:00:00
780,1024,2014-01-30T13:00:00
781,1025,2014-04-22T16:00:00
782,1026,2014-01-13T14:00:00
783,1027,2014-03-11T16:00:00
784,1028,2014-01-29T13:15:00
785,1029,2014-04-03T11:00:00
786,1030,2014-01-30T13:00:00
787,1031,2014-02-06T10:15:00
788,1032,2014-01-30T10:00:00
789,1033,2014-02-06T15:00:00
790,1034,2014-02-06T14:00:00
791,1035,2014-02-20T10:15:00
792,1036,2014-02-04T16:00:00
793,1037,2014-02-04T15:00:00
794,1038,2014-02-06T10:15:00
795,1039,2014-02-04T15:00:00
796,1040,2014-02-27T13:45:00
797,1041,2014-01-28T14:30:00
798,1042,2014-03-25T16:00:00
799,1043,2014-02-04T15:00:00
800,1044,2014-01-30T08:00:00
801,1045,2014-02-27T15:30:00
802,1046,2014-03-25T15:00:00
803,1047,2014-02-05T10:00:00
804,1048,2014-02-20T16:00:00
805,1049,2014-02-27T15:30:00
806,1050,2014-02-04T14:30:00
807,1051,2014-02-27T11:00:00
808,1052,2014-02-07T10:00:00
809,1053,2014-02-07T10:00:00
810,1054,2014-02-05T12:00:00
811,1055,2014-02-20T10:30:00
812,1056,2014-02-06T13:00:00
813,1057,2014-02-06T13:00:00
814,1058,2014-02-04T09:30:00
815,1059,2014-02-20T13:00:00
816,1060,2014-02-20T10:30:00
817,1061,2014-02-05T11:00:00
